"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"North Park Thursday Market","50060","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-08-23 15:00:00","2018-08-23 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.12662140000002"
"Daily Food Trucks","50991","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-23 11:00:00","2018-08-23 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50194","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-08-22 16:00:00","2018-08-22 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Curbside Bites Food Truck Markets - Downtown Lunch","49815","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-08-22 11:00:00","2018-08-22 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Daily Food Trucks","50990","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-22 11:00:00","2018-08-22 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Little Italy's Wednesday Farmers Market","50912","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes.","Date Street between State Street and the cul-de-sac of Kettner Boulevard","2018-08-22 09:00:00","2018-08-22 13:00:00","1,200","80","Little Italy Association of San Diego","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","50488","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-08-21 14:00:00","2018-08-21 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Daily Food Trucks","50989","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-21 11:00:00","2018-08-21 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Daily Food Trucks","50988","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-20 11:00:00","2018-08-20 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Daily Food Trucks","50987","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-19 11:00:00","2018-08-19 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Sunday Artisan Market","50569","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-08-19 10:00:00","2018-08-19 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"2018 Hillcrest Farmers' Market (Sundays)","49934","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-08-19 09:00:00","2018-08-19 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Old Town Artisan's Market","50388","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-08-19 09:00:00","2018-08-19 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"41st America's Finest City Half Marathon & 5K","50514","","ATHLETIC","This world famous event is one of the largest half marathons in the nation. Athletes across the
country are joined by others from foreign countries. The half marathon course begins at the
Cabrillo Monument and finishes at Balboa Park. The 5K course runs through Balboa Park.","Cabrillo Memorial Dr./Rosecroft St./Silvergate St./Dupont St./Gage St./Talbot St./Scott St./North Harbor Dr./Harbor Island Dr./Frontage Rd./North Harbor Dr./Ash St./Pacific Hwy./Broadway/India
St./A St./6th Ave./Laurel St./El Prado/Plaza de Panama/Hall of Champions","2018-08-19 04:30:00","2018-08-19 11:00:00","10,000","200","Cabrillo National Monument Foundation","www.afchalf.com","1800 Cabrillo Memorial Dr,","32.674885499999995","-117.2395271"
"NPCA Bird Park Concert Series","50743","","CONCERTS","The concert series occurs in a community park setting where attendees can picnic, relax, get to
meet and socialize with their neighbors spontaneously dance and listen to the music.","Bird Park east of Morley Field in Balboa Park","2018-08-18 16:30:00","2018-08-18 20:00:00","950","25","North Park Community Association","www.northparksd.org","2705 Upas St","32.7408744","-117.1301472"
"Hillcrest Car Show","50150","","FESTIVAL","Come and see classic cars displayed, talk to the owners, and get information on how to join the
LGBT Classic Car Club. ","Normal Street between Harvey Milk Street and University Avenue","2018-08-18 14:00:00","2018-08-18 18:00:00","250","20","Hillcrest Business Association","www.fabuloushillcrest.com","Normal & Harvey Milk Streets","32.7521124","-117.1481502"
"Daily Food Trucks","51129","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-18 11:00:00","2018-08-18 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"City Heights Farmer's Market (Every Saturday)","50111","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-08-18 09:00:00","2018-08-18 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","50387","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-08-18 09:00:00","2018-08-18 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","50009","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-08-18 08:00:00","2018-08-18 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"Point Loma Summer Concerts (Series)","50822","","CONCERTS","Residents in Point Loma can have an enjoyable evening at a free outdoor concert. Youth bands
will present their music first. Then, the professionals perform a variety of Motown, classic
rock, and pop music.","Point Loma Park at 1049 Catalina Blvd. near Varona St.","2018-08-17 17:30:00","2018-08-17 20:30:00","3,000","50","Point Loma Summer Concerts","www.plconcerts.org","1049 Catalina Blvd","32.7254294","-117.2447318"
"Food Truck Fridays","50669","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-08-17 16:00:00","2018-08-17 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"Daily Food Trucks","51128","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-17 11:00:00","2018-08-17 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Screen on the Green","50545","","FESTIVAL","Enjoy a night under the stars in the Botanical Lawn located east of the Museum and a selection
of films inspired by current exhibitions. Grab a blanket, a picnic, bring a few friends, and be
sure to arrive early for a good seat on the lawn! ","Botanical Lawn East of Balboa Park","2018-08-16 20:00:00","2018-08-16 22:00:00","500","30","San Diego Museum of Art","www.sdmart.org","1549 El Prado","32.732482899999994","-117.149225"
"North Park Thursday Market","50059","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-08-16 15:00:00","2018-08-16 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.12662140000002"
"Daily Food Trucks","50984","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-16 11:00:00","2018-08-16 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50193","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-08-15 16:00:00","2018-08-15 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Daily Food Trucks","50983","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-15 11:00:00","2018-08-15 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Curbside Bites Food Truck Markets - Downtown Lunch","49814","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-08-15 11:00:00","2018-08-15 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Little Italy's Wednesday Farmers Market","50911","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes.","Date Street between State Street and the cul-de-sac of Kettner Boulevard","2018-08-15 09:00:00","2018-08-15 13:00:00","1,200","80","Little Italy Association of San Diego","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","50487","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-08-14 14:00:00","2018-08-14 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Daily Food Trucks","50982","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-14 11:00:00","2018-08-14 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Daily Food Trucks","50981","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-13 11:00:00","2018-08-13 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"TCT Art Exhibition","50749","","EXHIBITS","The Falun Dafa Association San Diego Branch presents the Truth, Compassion, Tolerance Art Exhibition in August and September. ","Cascade Area in Balboa Park","2018-08-12 12:00:00","2018-08-12 17:00:00","100","15","Falun Dafa Assocation San Diego Branch","","1549 El Prado","32.732482899999994","-117.149225"
"Hillcrest CityFest","50633","","FESTIVAL","This popular festival showcases urban living. There's staged entertainment, a carnival with rides & games, merchandise, a beer garden, and a dance party. Other highlights include a dunk tank, mechanical bull rides, craft activities, and a water mist cool-off zone. You'll have a blast of fun!","5th Avenue between University & Brookes Avenues","2018-08-12 11:00:00","2018-08-12 23:30:00","100,000","300","Hillcrest Business Association","www.fabuloushillcrest.com/events/hillcrest-cityfest/","5th & University Avenues","32.7482624","-117.1604481"
"6th Annual North PB Sip N Stroll","50860","","FESTIVAL","A community street fair in Pacific Beach showcases local businesses and provides patrons with an opportunity to sample beer & wine. In addition, there will be musical entertainment, food booths, a boutique area for shoppers, and an area where children can have fun.","Cass Street between Loring St. & Opal St. ","2018-08-12 11:00:00","2018-08-12 17:00:00","2,000","50","Spangler Event Productions","www.sipnstrollpb.com","Cass & Loring Streets","32.7988279","-117.2529843"
"Daily Food Trucks","50980","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-12 11:00:00","2018-08-12 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"33rd Philippine Cultural Arts Festival","50629","","FESTIVAL","Enjoy traditional and contemporary music, dance, exhibitions, and hands-on activities at the 2018 Philippine Cultural Arts Festival in Balboa Park! Local, national, and international artists will perform, and you can find a variety of food and merchandise vendors, and more.","Presidents Way Lawn area in Balboa Park","2018-08-12 11:00:00","2018-08-12 17:00:00","2,000","200","Samahan Philippine Dance Company","","Park Boulevard & Presidents Way","32.7255715957","-117.15052751399999"
"Sunday Artisan Market","50568","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities. ","5th Avenue between Market Street and Island Avenue","2018-08-12 10:00:00","2018-08-12 15:00:00","3,000","20","Gaslamp Quarter Association","www.gaslamp.org","5th Avenue & Market Street","32.7313918","-117.1602848"
"Spirit of '45","50793","","FESTIVAL","The Spirit of '45 Day honors the legacy of service of America's ""Greatest Generation"" with music and
entertainment. Come and meet WWII Veterans and share their stories from that time in our history. ","Veteran's Memorial Garden in Balboa Park","2018-08-12 09:00:00","2018-08-12 16:00:00","700","50","Veteran's Museum Balboa Park","","2115 Park Blvd","32.7257478","-117.148764"
"2018 Hillcrest Farmers' Market (Sundays)","49933","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!
","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2018-08-12 09:00:00","2018-08-12 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Old Town Artisan's Market","50386","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-08-12 09:00:00","2018-08-12 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Chula Vista Challenge Triathlon","50655","","ATHLETIC","The Chula Vista Challenge (CVC) boasts a fresh new race experience, with 10 races to choose from. The park will host the Swim Start, the Transition Area, Expo, Kids Fun Zone, and end with a Beach Party Finish line featuring a Beer Garden and Mexican Food,","Bayside Park in Chula Vista; Main Street and Beyer Boulevard in San Diego","2018-08-12 06:00:00","2018-08-12 12:00:00","1,000","100","KOZ Events","www.chulavistachallenge.com","999 Bayside Pkwy, Chula Vista, CA ","32.627813399999994","-117.1067542"
"Ray at Night (2nd Saturday Each Month)","50138","","FARMERS","On the second Saturday of each month, participating businesses, galleries, and shops on and around Ray Street are open late to offer a pleasant art walk experience. Patrons can shop in
style amid musical entertainment where there are open sidewalk booths. ","Ray Street between University Avenue & North Park Way","2018-08-11 18:00:00","2018-08-11 22:00:00","500","40","North Park for the Arts","www.northparkarts.org","Ray Street & University Avenue ","32.7447533","-117.1292257"
"4th Annual Diamond Street Festival","51242","","FESTIVAL","Grab an friend and come to the Diamond Street Festival for arts, culture, health, wellness,
food, a kids' zone, a custom car show, and entertainment!","Imperial Avenue between 63rd and 65th Streets","2018-08-11 11:00:00","2018-08-11 18:00:00","6,000","800","Diamond Business Association Inc","www.diamondstreetfestival.com","63rd Street & Imperial Avenue","",""
"33rd Philippine Cultural Arts Festival","50628","","FESTIVAL","Enjoy traditional and contemporary music, dance, exhibitions, and hands-on activities at the 2018 Philippine Cultural Arts Festival in Balboa Park! Local, national, and international artists will perform, and you can find a variety of food and merchandise vendors, and more.","Presidents Way Lawn area in Balboa Park","2018-08-11 11:00:00","2018-08-11 17:00:00","2,000","200","Samahan Philippine Dance Company","","Park Boulevard & Presidents Way","32.7255715957","-117.15052751399999"
"Daily Food Trucks","50979","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-11 11:00:00","2018-08-11 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Ocean Beach Town Council Craft Fair","50794","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays.
Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right
around the corner! ","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2018-08-11 09:00:00","2018-08-11 16:00:00","150","50","Ocean Beach Town Council","www.obtowncouncil.org","1900 Ocean Front Street","32.9646989","-117.2678836"
"Old Town Artisan's Market","50385","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2018-08-11 09:00:00","2018-08-11 16:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","50110","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop! ","Wightman Street between 43rd Street and Fairmont Avenue","2018-08-11 09:00:00","2018-08-11 13:00:00","500","100","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","50008","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The
Mercato also offers artisan foods and specialty items of all shapes and sizes.","W. Cedar St between Front St. and Kettner Blvd. for Phase I and transitioning to W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard for Phase II","2018-08-11 08:00:00","2018-08-11 14:00:00","1,500","400","Little Italy Association of San Diego","www.littleitalymercato.com","Cedar & Front Streets","32.7219778","-117.1615697"
"Point Loma Summer Concerts (Series)","50821","","CONCERTS","Residents in Point Loma can have an enjoyable evening at a free outdoor concert. Youth bands
will present their music first. Then, the professionals perform a variety of Motown, classic
rock, and pop music.","Point Loma Park at 1049 Catalina Blvd. near Varona St.","2018-08-10 17:30:00","2018-08-10 20:30:00","3,000","50","Point Loma Summer Concerts","www.plconcerts.org","1049 Catalina Blvd","32.7254294","-117.2447318"
"Food Truck Fridays","50668","","FARMERS","On Friday evenings from June 1 to September 28, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway from 4:00 to 8:00 p.m. ","Plaza de Panama and El Prado","2018-08-10 16:00:00","2018-08-10 20:00:00","2,000","60","Parks & Recreation","www.balboapark.org","1450 El Prado","32.7316611885","-117.151808969"
"Daily Food Trucks","50978","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-10 11:00:00","2018-08-10 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Screen on the Green","50544","","FESTIVAL","Enjoy a night under the stars in the Botanical Lawn located east of the Museum and a selection
of films inspired by current exhibitions. Grab a blanket, a picnic, bring a few friends, and be
sure to arrive early for a good seat on the lawn! ","Botanical Lawn East of Balboa Park","2018-08-09 20:00:00","2018-08-09 22:00:00","500","30","San Diego Museum of Art","www.sdmart.org","1549 El Prado","32.732482899999994","-117.149225"
"North Park Thursday Market","50058","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2018-08-09 15:00:00","2018-08-09 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","North Park Way & Granada Avenue ","32.7474103","-117.12662140000002"
"PostSecret Pop Up","51236","","EXHIBITS","For over a decade, people from all over the world have been anonymously sharing their secrets through the community art project, PostSecret. Each postcard submission is a unique work of art handmade by people who needed to share and release their secret into the world. Come and see!","California Plaza area in Balboa Park","2018-08-09 13:30:00","2018-08-09 15:30:00","80/day","","San Diego Museum of Man","","1350 El Prado","32.731658658600004","-117.15221158"
"Daily Food Trucks","50977","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-09 11:00:00","2018-08-09 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Ocean Beach Certified Farmer's Market (Wednesdays)","50192","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2018-08-08 16:00:00","2018-08-08 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Street","32.7431327","-117.2449981"
"Daily Food Trucks","50976","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-08 11:00:00","2018-08-08 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Curbside Bites Food Truck Markets - Downtown Lunch","49813","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve
lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you
like and it's quickly served. Anticipated Attendance: 300/day. Anticipated Participants: 25.
Location:"," B Street between India & Columbia Streets. ","2018-08-08 11:00:00","2018-08-08 14:00:00","300","30","Curbside Bites","www.curbsidebites.com","B & India Streets","32.715738","-117.1610838"
"Little Italy's Wednesday Farmers Market","50910","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes.","Date Street between State Street and the cul-de-sac of Kettner Boulevard","2018-08-08 09:00:00","2018-08-08 13:00:00","1,200","80","Little Italy Association of San Diego","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","50486","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2018-08-07 14:00:00","2018-08-07 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Daily Food Trucks","50975","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-07 11:00:00","2018-08-07 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
"Daily Food Trucks","50974","","FESTIVAL","You are in for a special treat! Every day this summer, one of San Diego’s most popular food trucks is serving up your favorite dishes during daytime hours on Village Place near Spanish Village in Balboa Park.","Village Place and Old Globe Way","2018-08-06 11:00:00","2018-08-06 16:00:00","","","Parks & Rec & Balboa Park Conservancy","www.balboaparkconservancy.org/project/daily-food-trucks-park/","Village Place and Old Globe Way","32.7328019","-117.147906"
